n,m,solver_time,adaptive_time,gap_optimal,Exact_solver_gap,total_iter_adaptive
50,50,1.24551629166667,0.0619813958333334,0.000376243974241808,0.000637477457548841,10500
100,100,3.4148116875,0.118584754166667,0.105360496903611,0.000310542541493548,12300
200,200,15.5087855458333,0.411519491666667,0.105360493039259,0.000163648835099872,12949
300,300,43.4084490708333,1.04065927916667,0.105360479768131,0.000126841205699331,33770
400,400,98.4671218708334,2.54456086666667,0.105360478851789,0.00144260804169908,45903
